Date,Campaign Type,Purchases,Revenue,Cost,CPA,Add to cart,Cost per ATC,AOV
22 Jan 2026,Generic,1.001425,2362.905808,690.741222,689.7583163991312,10.383103,66.52550995593514,2359.5434585715357
22 Jan 2026,Performance Max,0,0,53.58908,null,3.656535,14.655700000136743,null
22 Jan 2026,Brand,0,0,78.491391,null,12.777052000000001,6.143153444159106,null
22 Jan 2026,Demand Gen,0,0,14.570725,null,0.587537,24.799672190857766,null
22 Jan 2026,Other,0,0,0,null,0,null,null
21 Jan 2026,Generic,0.981308,2299.047634,425.24675499999995,433.3468747834523,7.620406,55.80368749381594,2342.8399992662853
21 Jan 2026,Performance Max,0,0,79.51995500000001,null,0,null,null
21 Jan 2026,Brand,1.018692,4960.682365,87.201957,85.60188653685314,14.159706,6.158458162902535,4869.658704495569
21 Jan 2026,Demand Gen,0,0,14.622913,null,0,null,null
21 Jan 2026,Other,0,0,0,null,0,null,null
20 Jan 2026,Performance Max,0,0,64.03557699999999,null,0.42937,149.1384516850269,null
20 Jan 2026,Generic,0,0,485.95837500000005,null,19.364293,25.095590889892033,null
20 Jan 2026,Brand,3.585617,5639.144944,77.85877299999999,21.71419116988791,32.724841,2.3791948446747226,1572.7125747116884
20 Jan 2026,Demand Gen,0,0,14.958862,null,1,14.958862,null
19 Jan 2026,Generic,1.500001,1746.93112,469.9931239999999,313.3285404476397,10.136702,46.36548692069668,1164.6199702533531
19 Jan 2026,Brand,2.499999,2356.408879,97.903776,39.16152606461043,14.703544,6.658515525236636,942.5639286255715
19 Jan 2026,Performance Max,0,0,47.372036,null,0,null,null
19 Jan 2026,Demand Gen,0,0,15.154976,null,0.613106,24.718361914579205,null
19 Jan 2026,Other,0,0,0,null,0,null,null
18 Jan 2026,Generic,0,0,566.208889,null,11.601697,48.80397143624765,null
18 Jan 2026,Brand,4.999417,10455.532625,103.578048,20.718025321752513,26.499119,3.908735531924665,2091.3503764538946
18 Jan 2026,Performance Max,1,1756.85,42.594937,42.594937,2,21.2974685,1756.85
